,sentence
17649,"Pietas, veiled, draped, standing left by altar, raising both hands"
17650,"Pietas, veiled, draped, standing left or right, at altar, raising up both hands"
17651,"Pietas, veiled, draped, standing left, dropping incense from patera in right hand on lighted altar left and holding incense box in left hand"
17652,"Pietas, veiled, draped, standing left, dropping incense from right hand on lighted altar left and holding box in left hand"
17653,"Pietas, veiled, draped, standing left, dropping incense from right hand on lighted altar left and holding sceptre in left hand"
17654,"Pietas, veiled, draped, standing left, dropping incense on altar and holding box in left hand"
17655,"Pietas, veiled, draped, standing left, dropping incense on lit altar at left and holding box in left hand"
17656,"Pietas, veiled, draped, standing left, extending right hand to child and holding transverse sceptre in left hand"
17657,"Pietas, veiled, draped, standing left, extending right hand to child and holding transverse sceptre in left hand; in field, sometimes star"
17658,"Pietas, veiled, draped, standing left, extending right hand to child and holding transverse sceptre in left hand; in field, star"
17659,"Pietas, veiled, draped, standing left, holding patera in right hand and sceptre in left hand"
17660,"Pietas, veiled, draped, standing left, holding patera in right hand, left arm at side"
17661,"Pietas, veiled, draped, standing left, raising both hands"
17662,"Pietas, veiled, draped, standing left, raising both hands, altar left"
17663,"Pietas, veiled, draped, standing left, raising both hands; in field, star"
17664,"Pietas, veiled, draped, standing left, raising both hands; to left, altar"
17665,"Pietas, veiled, draped, standing left, raising right hand above altar, left hand at side"
17666,"Pietas, veiled, draped, standing left, raising right hand above lighted altar left and holding box in left hand."
17667,"Pietas, veiled, draped, standing left, raising right hand above lighted altar left and holding perfume box in left hand"
17668,"Pietas, veiled, draped, standing left, raising right hand over altar, and holding incense-box in left hand"
17669,"Pietas, veiled, draped, standing left, raising up both hands before altar"
17670,"Pietas, veiled, draped, standing left, sacrificing out of patera in right hand over lighted altar, right and holding box in left hand at side."
17671,"Pietas, veiled, draped, standing left, with right hand dropping incense on lighted altar left and holding box in left hand"
17672,"Pietas, veiled, draped, standing left, with right hand dropping incense on lighted candelabrum and holding box in left hand"
17673,"Pietas, veiled, draped, standing right, sacrificing out of patera in right hand on altar and holding sceptre in left hand"
17674,"Pietas, veiled, draped, standing, left, dropping incense out of right hand over lighted candelabrum-altar, left and holding box in left hand."
17675,"Pietas, veiled, seated left, holding a perfume box in right hand; before her, lighted and decorated altar"
17676,"Pietas, veiled, standing facing, raising one hand above altar to left"
17677,"Pietas, veiled, standing front, head left (rarely right), raising both hands"
17678,"Pietas, veiled, standing front, raising one hand over alter to left"
17679,"Pietas, veiled, standing left before altar, extending hand and holding box of incense"
17680,"Pietas, veiled, standing left, placing incense on altar and holding incense box"
17681,"Pietas, veiled, standing left, raising hand"
17682,"Pietas, veiled, standing left, raising hand and holding incense box; to left, altar"
17683,"Pietas, veiled, standing left, sacrificing over lighted and garlanded altar"
17684,"Pietas, veiled, standing right before altar, extending hand and holding box of incense"
17685,"Pietas, veiled, standing right before altar, raising one hand and holding box of incense in the other hand"
17686,"Pietas, veiled, standing right, raising both hands"
17687,"Pietas, veiled, standing right, raising hand and holding incense box; to left, altar"
17688,"Pietas, veiled, standing right, raising hand and holding incense box; to right, altar"
17689,Pile of arms
17690,Pile of arms and armor
17691,"Pile of arms: cuirass, shields, spears and other arms"
17692,"Pile of arms: cuirass, shields, spears, trumpets, etc"
17693,"Pile of arms; cuirass, hexagonial and oval shields, helmet, vexillum, carnyces, spears"
17694,"Pile of arms; cuirass, hexagonial and oval shields, helmet, vexillum, carnyces, spears."
17695,Pileus between two vertical daggers
17696,Pileus flanked by S C
17697,"Plan of Roman camp, Sol standing in middle, chlamys draped across left shoulder, raising right hand and holding globe in left hand"
17698,"Plautilla, draped, and Caracalla, togate, standing left and right, clasping right hands"
17699,"Pluto, wearing polos on head, seated left, extending right hand and holding sceptre in left hand; to left, Cerberus"
17700,"Pluto, wearing polos on head, seated left, extending right hand and holding sceptre in left hand; to left, Minotaur"
17701,"Pluto, wearing polos, seated left, resting right hand on knee, holding sceptre in left hand; to left, Cerberus"
17702,Pons Aelius decorated with eight statues on columns
17703,Pontifical implements
17704,Pontifical implements and altar
17705,"Pontifical instruments, variously arranged"
17706,Pontifical vase
17707,Pontifical vase between two litui
17708,Pontifical vase between two palms
17709,"Postumus, draped, cuirassed, mounted left on horse, addressing four soldiers, three of whom holding ensigns, one of whom holding spear and shield"
17710,"Postumus, draped, cuirassed, mounted left on horse, addressing three soldiers, each holding ensign"
17711,"Postumus, draped, cuirassed, riding left, addressing four soldiers, three of whom holding ensigns"
17712,"Postumus, draped, cuirassed, riding left, holding spear; before him, Victory, winged, draped holding palm"
17713,"Postumus, draped, cuirassed, riding left, raising right hand, holding spear in left hand"
17714,"Postumus, draped, cuirassed, riding right, holding spear; before him, Victory, winged, draped holding wreath and trophy"
17715,"Postumus, draped, cuirassed, standing left, holding branch in right hand and sceptre in left hand"
17716,"Postumus, draped, cuirassed, standing left, holding globe in right hand and spear in left hand"
17717,"Postumus, draped, cuirassed, standing left, holding globe in right hand and spear in left hand; Victory, winged, draped, holding palm and crowning Postumus"
17718,"Postumus, draped, cuirassed, standing left, holding globe in right hand and spear in left hand; Victory, winged, draped, holding palm and crowning Postumus; at foot, captive"
17719,"Postumus, draped, cuirassed, standing left, holding spear in right hand and crowning trophy with left hand; flanking the trophy, two captives"
17720,"Postumus, draped, cuirassed, standing left, holding spear in right hand and raising kneeling Gaul with left hand; Gaul, sometimes crowned, holding cornucopiae or spear; Postumus sometimes placing foot on enemy"
17721,"Postumus, draped, cuirassed, standing left, holding spear in right hand and raising kneeling woman with left hand; woman holding branch"
17722,"Postumus, draped, cuirassed, standing left, holding spear in right hand and raising kneeling woman with left hand; woman turreted or helmeted, holding spear or cornucopiae"
17723,"Postumus, draped, cuirassed, standing left, holding spear in right hand and wreath in left hand, being crowned by Hercules; Hercules, holding club and lion's skin"
17724,"Postumus, draped, cuirassed, standing left, placing right hand on trophy and holding spear in left hand; flanking trophy, two captives"
17725,"Postumus, draped, cuirassed, standing right, holding spear in right hand and globe in left hand"
17726,"Postumus, draped, cuirassed, standing right, holding spear in right hand and leaning on shield with left hand"
17727,"Postumus, draped, cuirassed, standing right, holding spear in right hand and leaning on shield with left hand; to left, trophy and two captives"
17728,"Postumus, draped, cuirassed, standing right, holding spear in right hand and leaning on shield with left hand; to left, trophy between two captives"
17729,"Postumus, draped, cuirassed, standing right, holding spear in right hand and raising kneeling woman with left hand; woman sometimes crowned, holding cornucopiae"
17730,"Postumus, draped, cuirassed, walking right or left, holding spear in right hand and shield in left hand, treading down enemy"
17731,"Postumus, draped, cuirassed, walking right, holding spear in right hand and shield in left hand, treading down enemy"
17732,"Postumus, draped, cuirassed, walking right, holding spear in right hand and shield in left hand; sometimes at foot, captive"
17733,"Postumus, draped, riding left in slow quadriga, holding branch"
17734,"Postumus, draped, seated left on curule chair, holding globe in right hand and sceptre in left hand"
17735,"Postumus, draped, seated left on curule chair; before him, kneeling suppliant"
17736,"Postumus, draped, seated left on platform; behind him. Lictor; before him, Liberalitas, draped, holding tessera and cornucopiae; below, citizen"
17737,"Postumus, draped, standing left, sacrificing at altar; beside him, citizen and child; before him, two Vestal Virgins, draped, one holding box of perfumes and a child"
17738,"Postumus, helmeted, draped, cuirassed, standing left, holding globe in right hand and spear in left hand"
17739,"Postumus, veiled, draped, standing left, sacrificing at altar and holding short sceptre; to left, Mercury, standing front, head right, holding purse and caduceus"
17740,"Postumus, veiled, draped, standing left, sacrificing at altar with right hand and holding sceptre in left hand"
17741,"Postumus, veiled, draped, standing left, sacrificing at altar; to left, Mercury, standing front, head left, holding purse and caduceus"
17742,"Praetorian galley, left"
17743,Priest driving two oxen right
17744,Priestly emblems
17745,"Priestly emblems: from left to right, knife, sprinkler, jug, lituus and simpulum"
17746,"Priestly emblems: from left to right, knife, sprinkler, jug, lituus, simpulum."
17747,"Priestly emblems: jug between lituus and knife on left and to right, simpulum and sprinkler"
17748,Priestly emblems: jug between lituus and knife on the left and simpulum and sprinkler on right
17749,"Priestly emblems: jug between lituus and knife to left; to right, patera, simpulum and sprinkler"
17750,"Priestly emblems: jug between lituus, knife and patera on left and to right simpulum and sprinkler"
17751,"Priestly emblems: jug between lituus, knife and patera on the left and simpulum and sprinkler on right"
17752,"Priestly emblems: jug between simpulum, lituus and patera on left and sprinkler and knife on right"
17753,Priestly implements
17754,"Priestly implements: knife, aspergillum, jug, etc."
17755,"Priestly implements: knife, bucranium, apex, and simpulum"
17756,Priestly instruments
17757,"Priestly instruments: knife, aspergillum, capis, lituus and simpulum"
17758,Priestly vessels
17759,"Prince, standing left, holding wand in right hand and spear in left hand"
17760,"Prince, standing left, sacrificing out of patera in right hand over altar"
17761,Prize table
17762,"Prize table; on table, a cup holding palm, and an urn"
17763,"Probus, galloping left over enemy; sometimes under horse, shield"
17764,"Probus, galloping left, attacking two enemies"
17765,"Probus, galloping right or left, spearing enemy"
17766,"Probus, galloping right, riding down enemy"
17767,"Probus, galloping right, riding down kneeling enemy"
17768,"Probus, galloping right, spearing enemy"
17769,"Probus, galloping right, spearing enemy whose shield lies beneath horse"
17770,"Probus, galloping right, spearing enemy; under horse, shield"
17771,"Probus, galloping right, spearing fallen enemy"
17772,"Probus, galloping right, trampling enemy"
17773,"Probus, in quadriga, left, holding branch"
17774,"Probus, in quadriga, left, holding olive-branch in right hand and sceptre in left hand"
17775,"Probus, in quadriga, right"
17776,"Probus, in quadriga, right, holding sceptre surmounted by eagle"
17777,"Probus, in slow quadriga, riding right, holding sceptre surmounted by eagle"
17778,"Probus, on platform with praetorian prefect, addressing six soldiers with ensigns"
17779,"Probus, on platform with praetorian prefect, addressing six soldiers, holding ensigns"
17780,"Probus, preceded by Victory and followed by soldier, riding left, raising right hand and holding sceptre in left hand; in background, two ensigns"
17781,"Probus, preceded by Victory, riding left, raising right hand and holding sceptre in left hand"
17782,"Probus, riding left, holding sceptre in right hand, preceded by Victory, holding wreath and palm"
17783,"Probus, riding left, raising right hand and holding sceptre in left hand, preceded by Victory, holding wreath in right hand and palm in left hand"
17784,"Probus, riding left, raising right hand and holding sceptre in left hand; at his feet, captive"
17785,"Probus, riding left, raising right hand and holding sceptre in left hand; sometimes at his feet, captive"
17786,"Probus, riding left, raising right hand and holding sceptre in left hand; under horse, captive"
17787,"Probus, riding left, raising right hand and holding sceptre in left hand; under horse, two captives"
17788,"Probus, riding left, with soldier and child"
17789,"Probus, riding right over enemy"
17790,"Probus, riding right over enemy, spearing another enemy"
17791,"Probus, riding right, spearing enemy"
17792,"Probus, seated left, receiving globe from Mars and being crowned by Victory; in background, soldier and two ensigns"
17793,"Probus, standing front, foot on captive, holding Victory in right hand and parazonium in left hand, crowned by Sol, holding whip"
17794,"Probus, standing front, raising right hand and holding sceptre in left hand; flanked on each side by ensign"
17795,"Probus, standing left before altar, holding globe in right hand and sceptre in left hand, crowned by Victory, standing left, holding palm"
17796,"Probus, standing left between two ensigns, holding sceptre in right hand"
17797,"Probus, standing left on platform, with Praetorian prefect, addressing four soldiers grouped around with two captives; in the background, six ensigns"
17798,"Probus, standing left on platform, with Praetorian prefect, addressing soldiers grouped around; two soldiers standing nearest platform, holding horse, accompanied by captive"
17799,"Probus, standing left on platform, with Praetorian prefect, addressing two soldiers, each holding ensign in right hand and shield in left hand; in the background, six ensigns"
17800,"Probus, standing left, addressing four suppliants, two standing, two kneeling"
17801,"Probus, standing left, between two ensigns, raising right hand and holding sceptre in left hand"
17802,"Probus, standing left, crowning trophy with right hand and holding sceptre in left hand; to left, captive"
17803,"Probus, standing left, crowning trophy; at his feet, captive"
17804,"Probus, standing left, extending right hand and holding sceptre in left hand; flanked on each side by two suppliants"
17805,"Probus, standing left, holding Victory on globe in right hand and spear in left hand, crowned by Victory standing left; to his left, soldier holding shield on cippus"
17806,"Probus, standing left, holding globe in right hand and sceptre in left hand; crowned by Victory, holding palm in left hand"
17807,"Probus, standing left, holding globe in right hand and spear and shield in left hand; at his feet, captive"
17808,"Probus, standing left, holding globe in right hand and spear in left hand"
17809,"Probus, standing left, holding globe in right hand, crowned by Mars, leaning on shield"
17810,"Probus, standing left, holding sceptre and crowning trophy; flanked on each side by captive"
17811,"Probus, standing left, holding sceptre in right hand and crowning trophy with left hand; at his feet, captive"
17812,"Probus, standing left, holding sceptre in right hand; flanked by four suppliants, two standing and two kneeling"
17813,"Probus, standing left, holding sceptre, receiving globe from soldier, standing right, holding spear"
17814,"Probus, standing left, holding spear in right hand, addressing four suppliants, two standing and two kneeling"
17815,"Probus, standing left, holding spear, crowned by Victory and receiving Victory set on globe from soldier, standing right by shield inscribed VOTIS set on palm-trunk"
17816,"Probus, standing left, treading down enemy, holding globe in right hand and sceptre in left hand; crowned by Victory, holding palm"
17817,"Probus, standing left, treading down enemy, holding globe in right hand and spear in left hand; crowned by Sol, standing left, holding whip in left hand"
17818,"Probus, standing right or left, holding spear and parazonium; treading down one of two captives"
17819,"Probus, standing right, clasping hand of Concordia, standing left"
17820,"Probus, standing right, clasping hands with Concordia, standing left"
17821,"Probus, standing right, holding globe in right hand and spear in left hand"
17822,"Probus, standing right, holding sceptre surmounted by eagle, receiving globe from Jupiter, standing left, holding sceptre"
17823,"Probus, standing right, holding sceptre, receiving Victory set on globe from Jupiter, standing left, holding sceptre"
17824,"Probus, standing right, holding sceptre, receiving globe from Jupiter, standing left, holding sceptre"
17825,"Probus, standing right, holding spear and crowning trophy; at his feet, captive"
17826,"Probus, standing right, holding spear in right hand and globe in left hand"
17827,"Probus, standing right, holding spear, receiving globe from Jupiter, standing left, holding sceptre"
17828,"Probus, standing right, receiving Victory from Roma, seated left on shield, holding spear"
17829,"Probus, standing right, receiving globe from Jupiter, standing left"
17830,"Probus, standing right, receiving globe from Jupiter, standing left, holding sceptre in left hand"
17831,"Probus, standing, holding sceptre; flanked on each side by ensign"
17832,"Probus, walking right, holding spear in right hand and shield in left hand; treading down captive"
17833,"Providentia (?), draped, standing left, holding baton in right hand and caduceus in left hand"
17834,"Providentia (or Aeternitas?), draped, standing front, head left, raising lighted torch (sometimes branch) in right hand and holding globe in left hand"
17835,"Providentia (or Annona), draped, standing left, holding two corn-ears in right hand and cornucopiae in left hand; on ground, modius"
17836,"Providentia seated left, feeding snake around altar"
17837,"Providentia seated, holding patera in hand"
17838,"Providentia standing left, holding sceptre; globe at feet"
17839,"Providentia standing left, pointing to globe and holding sceptre; at feet, globe"
17840,"Providentia standing left, usually leaning against column, pointing to globe with hand or wand and holding sceptre; usually at feet, globe"
17841,"Providentia standing left, usually leaning on column, pointing to globe by feet and holding sceptre"
17842,"Providentia standing, to left pointing at globe with right hand, scepter in left hand"
17843,"Providentia(?), veil blown out in round behind head, standing left, holding globe on extended right hand with left hand on veil"
17844,"Providentia, draped"
17845,"Providentia, draped,  standing right, holding an ensign in each hand; Sol, radiate, standing left, holding globe"
17846,"Providentia, draped, holding corn-ears in right hand over altar and cornucopiae in left hand"
17847,"Providentia, draped, holding corn-ears in right hand over modius and anchor set on ground in left hand"
17848,"Providentia, draped, holding corn-ears in right hand over modius and cornucopiae in left hand"
17849,"Providentia, draped, leaning on column, holding baton in right hand and cornucopiae in left hand; at her feet, globe"
17850,"Providentia, draped, seated left, holding baton in right hand and sceptre in left hand; at foot, globe"
17851,"Providentia, draped, seated left, holding corn-ears in right hand"
17852,"Providentia, draped, seated left, pointing at globe with short baton in right hand and leaning on sceptre with left hand"
17853,"Providentia, draped, standing front, head left, holding corn-ears in right hand and anchor in left hand; on ground, modius"
17854,"Providentia, draped, standing front, head left, holding corn-ears in right hand over modius and anchor in left hand"
17855,"Providentia, draped, standing front, head left, holding globe in extended right hand and cornucopiae in left hand"
17856,"Providentia, draped, standing front, head left, holding globe in extended right hand and transverse sceptre in left hand"
17857,"Providentia, draped, standing front, head left, holding two corn-ears  in right hand over modius and cornucopiae in left hand"
17858,"Providentia, draped, standing front, head left, raising right hand and holding globe at side in left hand."
17859,"Providentia, draped, standing front, holding baton in right hand and cornucopiae in left hand"
17860,"Providentia, draped, standing left"
17861,"Providentia, draped, standing left with legs crossed, leaning left arm on column, holding wand in right hand over globe and cornucopiae in left hand"
17862,"Providentia, draped, standing left, foot on prow, holding baton in right hand and cornucopiae in left hand; at her feet, globe"
17863,"Providentia, draped, standing left, holding baton in right hand and cornucopiae in left hand"
17864,"Providentia, draped, standing left, holding baton in right hand and cornucopiae in left hand; at feet, globe"
17865,"Providentia, draped, standing left, holding baton in right hand and cornucopiae in left hand; at foot, globe"
17866,"Providentia, draped, standing left, holding baton in right hand and cornucopiae in left hand; at her feet, globe"
17867,"Providentia, draped, standing left, holding baton in right hand and cornucopiae in left hand; at his feet, globe"
17868,"Providentia, draped, standing left, holding baton in right hand and cornucopiae in left hand; sometimes at foot, globe"
17869,"Providentia, draped, standing left, holding baton in right hand and ensign in left hand; at feet, globe"
17870,"Providentia, draped, standing left, holding baton in right hand and sceptre in left hand"
17871,"Providentia, draped, standing left, holding baton in right hand and sceptre in left hand; at foot, globe"
17872,"Providentia, draped, standing left, holding baton in right hand and sceptre in left hand; at her feet, globe"
17873,"Providentia, draped, standing left, holding baton in right hand and sceptre or cornucopiae in left hand; at her feet, globe"
17874,"Providentia, draped, standing left, holding baton in right hand and transverse sceptre in left hand"
17875,"Providentia, draped, standing left, holding baton in right hand and vertical sceptre in left hand"
17876,"Providentia, draped, standing left, holding baton resting on globe in right hand and cornucopiae in left hand; at foot, globe"
17877,"Providentia, draped, standing left, holding both hands above head to large star"
17878,"Providentia, draped, standing left, holding corn-ears in right hand and cornucopiae in left hand"
17879,"Providentia, draped, standing left, holding corn-ears in right hand and cornucopiae in left hand; at her feet, modius"
17880,"Providentia, draped, standing left, holding corn-ears in right hand and sceptre in left hand; at her feet, modius"
17881,"Providentia, draped, standing left, holding corn-ears in right hand over modius and sceptre in left hand"
17882,"Providentia, draped, standing left, holding ears of corn in right hand and cornucopiae in left hand; at foot, modius"
17883,"Providentia, draped, standing left, holding ears of corn in right hand and sceptre in left hand; at foot, modius"
17884,"Providentia, draped, standing left, holding ensign in each hand"
17885,"Providentia, draped, standing left, holding globe in extended right hand and cornucopiae in left hand"
17886,"Providentia, draped, standing left, holding globe in extended right hand and sceptre in left hand"
17887,"Providentia, draped, standing left, holding globe in extended right hand and vertical sceptre in left"
17888,"Providentia, draped, standing left, holding globe in right hand and cornucopiae in left hand"
17889,"Providentia, draped, standing left, holding globe in right hand and cornucopiae in left hand; at foot, globe"
17890,"Providentia, draped, standing left, holding globe in right hand and sceptre in left hand"
17891,"Providentia, draped, standing left, holding globe in right hand and sceptre in left hand; at foot, globe"
17892,"Providentia, draped, standing left, holding globe in right hand and sceptre or spear in left hand"
17893,"Providentia, draped, standing left, holding globe in right hand and spear or sceptre in left hand"
17894,"Providentia, draped, standing left, holding globe in right hand and standard in left hand"
17895,"Providentia, draped, standing left, holding globe in right hand and transverse sceptre in left hand"
17896,"Providentia, draped, standing left, holding globe in right hand and transverse sceptre in left hand; at foot, globe"
17897,"Providentia, draped, standing left, holding globe on extended right hand and cornucopiae in left"
17898,"Providentia, draped, standing left, holding globe on extended right hand and cornucopiae in left hand"
17899,"Providentia, draped, standing left, holding globe on extended right hand and vertical sceptre in left"
17900,"Providentia, draped, standing left, holding globe or patera in right hand and cornucopiae in left hand"
17901,"Providentia, draped, standing left, holding globe or patera in right hand and sceptre in left hand"
17902,"Providentia, draped, standing left, holding globe, branch, or three ears of corn in right hand and sceptre in left hand"
17903,"Providentia, draped, standing left, holding in right hand wand over globe set on ground and sceptre in left hand"
17904,"Providentia, draped, standing left, holding olive-branch in right hand and sceptre in left hand"
17905,"Providentia, draped, standing left, holding palm in right hand and sceptre in left hand"
17906,"Providentia, draped, standing left, holding purse in right hand and cornucopiae in left hand; at her feet, globe"
17907,"Providentia, draped, standing left, holding right hand above head to star and resting left hand on breast"
17908,"Providentia, draped, standing left, holding rudder in right hand and cornucopiae in left hand"
17909,"Providentia, draped, standing left, holding rudder set on globe (?) and cornucopiae in left hand"
17910,"Providentia, draped, standing left, holding sceptre in right hand and in left hand wand over globe set on ground"
17911,"Providentia, draped, standing left, holding sceptre in right hand; at feet, globe"
17912,"Providentia, draped, standing left, holding sceptre or baton in right hand and cornucopiae in left hand; at her feet, globe"
17913,"Providentia, draped, standing left, holding staff in right hand and cornucopiae in left hand"
17914,"Providentia, draped, standing left, holding three ears of corn in right hand and cornucopiae in left hand; at foot, globe"
17915,"Providentia, draped, standing left, holding three ears of corn in right hand and sceptre in left hand"
17916,"Providentia, draped, standing left, holding up globe in right hand and cornucopiae at shoulder in left"
17917,"Providentia, draped, standing left, holding wand in right hand and cornucopiae in left hand; leaning on column; at feet, globe"
17918,"Providentia, draped, standing left, holding wand in right hand and sceptre in left hand"
17919,"Providentia, draped, standing left, holding wand in right hand and sceptre in left hand ; at  feet, a globe"
17920,"Providentia, draped, standing left, holding wand in right hand over globe and sceptre in left hand"
17921,"Providentia, draped, standing left, holding wand in right hand over globe decorated with stars and zones and set on ground and holding cornucopiae in left hand"
17922,"Providentia, draped, standing left, holding wand in right hand over globe on ground left and vertical sceptre in left hand"
17923,"Providentia, draped, standing left, holding wand in right hand over globe set on ground and cornucopiae in left hand"
17924,"Providentia, draped, standing left, holding wand in right hand over globe set on ground and cornucopiae in left hand; in field, star"
17925,"Providentia, draped, standing left, holding wand in right hand over globe set on ground and cornucopiae in left hand; in field, usually star"
17926,"Providentia, draped, standing left, holding wand in right hand over globe set on ground and sceptre in left"
17927,"Providentia, draped, standing left, holding wand in right hand over globe set on ground and sceptre in left hand"
17928,"Providentia, draped, standing left, holding wand in right hand over globe set on ground; in field, star"
17929,"Providentia, draped, standing left, holding wand in right hand over globe, set on ground, and sceptre in left hand"
17930,"Providentia, draped, standing left, holding wand over globe in right hand and cornucopiae in left hand"
17931,"Providentia, draped, standing left, holding wreath in right hand and baton in left hand"
17932,"Providentia, draped, standing left, leading on column, holding globe in right hand and sceptre in left hand"
17933,"Providentia, draped, standing left, leaning left elbow on column, crossing left leg over right leg, holding wand in right hand over globe set on ground and cornucopiae in left hand"
17934,"Providentia, draped, standing left, leaning left elbow on column, holding wand in right hand over globe set on ground and cornucopiae in left hand"
17935,"Providentia, draped, standing left, leaning on column"
17936,"Providentia, draped, standing left, leaning on column with left arm and holding wand in right hand over globe and cornucopiae in left hand"
17937,"Providentia, draped, standing left, leaning on column, holding baton in right hand and cornucopiae in left hand, crossing legs; at foot, globe"
17938,"Providentia, draped, standing left, leaning on column, holding baton in right hand and cornucopiae in left hand; at her feet, globe"
17939,"Providentia, draped, standing left, leaning on column, holding baton on club in right hand and cornucopiae in left hand"
17940,"Providentia, draped, standing left, leaning on column, holding cornucopiae in left hand"
17941,"Providentia, draped, standing left, leaning on column, holding globe in right hand and sceptre in left hand"
17942,"Providentia, draped, standing left, legs crossed, holding wand in right hand over globe and cornucopiae; leaning on column with left arm"
17943,"Providentia, draped, standing left, legs crossed, leaning on column, holding baton in right hand and cornucopiae in left hand"
17944,"Providentia, draped, standing left, legs crossed, leaning on column, holding baton in right hand and cornucopiae in left hand; at her feet, globe"
17945,"Providentia, draped, standing left, pointing at globe set on ground and holding sceptre in left hand"
17946,"Providentia, draped, standing left, pointing at globe with wand in right hand and holding spear in left hand"
17947,"Providentia, draped, standing left, pointing right hand at large globe lying left, resting left elbow on column, and holding vertical sceptre in left"
17948,"Providentia, draped, standing left, pointing wand in right hand at globe at her feet and holding vertical sceptre in left hand"
17949,"Providentia, draped, standing left, pointing with right hand at large globe to left, and holding vertical sceptre in left"
17950,"Providentia, draped, standing left, pointing with right hand at large globe to left, and holding vertical sceptre in left, with left elbow resting on column"
17951,"Providentia, draped, standing left, raising right hand toward flaming globe"
17952,"Providentia, draped, standing left, resting left arm on column, pointing with right at globe and holding vertical sceptre in left"
17953,"Providentia, draped, standing right, extending right hand to Quies, draped, standing left, holding branch (up or down) in right hand and leaning on sceptre with left hand"
17954,"Providentia, draped, standing right, extending right hand to Quies, draped, standing left, holding branch (up or down) in right hand and leaning on sceptre with left hand; in field, K"
17955,"Providentia, draped, standing right, extending right hand to Quies, draped, standing left, holding branch (up or down) in right hand and leaning on sceptre with left hand; in field, KΔ"
17956,"Providentia, draped, standing right, extending right hand to Quies, draped, standing left, holding branch (up or down) in right hand and leaning on sceptre with left hand; in field, Kς"
17957,"Providentia, draped, standing right, extending right hand to Quies; Quies, draped, standing left, holding branch in right hand and leaning on sceptre with left hand"
17958,"Providentia, draped, standing right, extending right hand to Quies; Quies, draped, standing left, holding branch in right hand and leaning on sceptre with left hand; between them, *; in left field, S; in right field, F"
17959,"Providentia, draped, standing right, extending right hand to Quies; Quies, draped, standing left, holding branch in right hand and leaning on sceptre with left hand; between them, crescent; in left field, S; in right field, F"
17960,"Providentia, draped, standing right, extending right hand to Quies; Quies, draped, standing left, holding branch in right hand and leaning on sceptre with left hand; between them, •"
17961,"Providentia, draped, standing right, extending right hand to Quies; Quies, draped, standing left, holding branch in right hand and leaning on sceptre with left hand; in field to left and right, S F"
17962,"Providentia, draped, standing right, extending right hand to Quies; Quies, draped, standing left, holding branch in right hand and leaning on sceptre with left hand; in left field, S; in right field, F"
17963,"Providentia, draped, standing right, extending right hand to Quies; Quies, draped, standing left, holding branch in right hand and leaning on sceptre with left hand; in left field, S; in right field, F next to officina letter"
17964,"Providentia, draped, standing right, extending right hand to Quies; Quies, draped, standing left, holding branch in right hand and leaning on sceptre with left hand; sometimes in left and right fields, S F"
17965,"Providentia, draped, standing right, holding baton and cornucopiae, facing Sol (?), radiate, standing left, raising right hand and holding globe in left hand; at feet, globe"
17966,"Providentia, draped, standing right, holding ensign in each hand, facing Sol, standing left, holding globe"
17967,"Providentia, draped, standing right, holding ensign in each hand, facing Sol, standing left, raising right hand and holding globe in left hand"
17968,"Providentia, draped, standing right, holding ensign, facing Sol, standing left, raising right hand and holding globe in left hand"
17969,"Providentia, draped, standing right, holding two ensigns, facing Sol (?), radiate, standing left, raising right hand and holding globe in left hand"
17970,"Providentia, draped, standing right, holding two ensigns, facing emperor, standing left, raising right hand and holding globe in left hand"
17971,"Providentia, draped, standing, pointing with right hand at large globe left and holding sceptre, vertical, in left"
17972,"Providentia, standing left"
17973,"Providentia, standing left, holding globe and sceptre"
17974,"Providentia, standing left, holding globe in right hand and cornucopiae in left"
17975,"Providentia, standing left, pointing with right hand at large globe and holding sceptre"
17976,"Providentia, standing right"
17977,"Providentia, standing right, holding sceptre and globe"
17978,"Prow right; above, star with eight rays"
17979,"Prow, right"
17980,"Pudicitia veiled, seated left, holding veil and placing hand on lap"
17981,"Pudicitia, draped, seated left"
17982,"Pudicitia, draped, seated left, drawing veil over face with right hand and holding sceptre in left hand"
17983,"Pudicitia, draped, seated left, holding sceptre in each hand"
17984,"Pudicitia, draped, seated left, holding sceptre in right hand and raising veil with left hand"
17985,"Pudicitia, draped, seated left, holding sceptre in right hand and raising veil with left hand; in front, Salus, draped, standing left, feeding serpent held in arms; behind, Felicitas, draped, standing left, legs crossed, leaning on column"
17986,"Pudicitia, draped, seated left, raising right hand and holding sceptre in left hand"
17987,"Pudicitia, draped, seated left, raising right hand to her lips and holding sceptre in left hand"
17988,"Pudicitia, draped, seated left, raising right hand to veil and holding sceptre in left hand"
17989,"Pudicitia, draped, seated left, raising veil with right hand and holding sceptre in left hand"
17990,"Pudicitia, draped, seated left, resting left hand on breast"
17991,"Pudicitia, draped, standing left, drawing veil over her head with right hand and holding robe in left hand"
17992,"Pudicitia, draped, standing left, holding out cloak in both hands, right hand raised, left hand lowered."
17993,"Pudicitia, draped, standing left, raising right hand to veil and holding sceptre in left hand"
17994,"Pudicitia, draped, standing left, raising veil with right hand and holding sceptre in left hand"
17995,"Pudicitia, draped, standing left, veiling face with right hand and holding sceptre in left hand"
17996,"Pudicitia, draped, standing right, holding sceptre in right hand and raising veil with left hand"
